listing_id,link_url,listing_title,business_types,listing_type,property_type,sale_price,rental_price,rental_period,yearly_iptu,monthly_condo_fee,amenities,usable_area,bathrooms,bedrooms,parking_spaces,state,city,suburb,advertiser_name,portal,aquisition_date,area_m2,region,price_per_m2
2747202005,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-102m2-venda-RS980000-id-2747202005/,"Apto a venda 130 mts do mar, 102 m², 3/4 sendo uma suíte, em Meia Praia - Itapema - SC",Venda,apartamento,UNIT,980000.0,,<NA>,632.0,445.0,"[""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""INTERNET_ACCESS"", ""AMERICAN_KITCHEN"", ""SECURITY_CAMERA"", ""DISABLED_ACCESS"", ""ELECTRONIC_GATE""]",102,2,3,1,SC,Itapema,Andorinha,Airton Investimentos Imobiliários BC,GRUPOZAP,2025-01-11 00:00:00.000,102.0,andorinha,9607.84
2737654816,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-135m2-venda-RS1300000-id-2737654816/,"Apto 3 suítes a venda , 135 m², 2 vagas, 180 mts do mar, em Meia Praia - Itapema - SC",Venda,apartamento,UNIT,1300000.0,,<NA>,1200.0,454.0,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GYM"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""PARTY_HALL"", ""RECREATION_AREA"", ""INTERNET_ACCESS"", ""AMERICAN_KITCHEN"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""ELECTRONIC_GATE""]",135,3,3,2,SC,Itapema,Andorinha,Airton Investimentos Imobiliários Itapema,GRUPOZAP,2025-01-11 00:00:00.000,135.0,andorinha,9629.63
2749359028,https://www.vivareal.com.br/imovel/apartamento-2-quartos-meia-praia-bairros-itapema-com-garagem-81m2-venda-RS890000-id-2749359028/,APARTAMENTO COM 2 QUARTOS FRENTE RUA A VENDA NA MEIA PRAIA!,Venda,apartamento,UNIT,890000.0,,<NA>,0.0,0.0,[],81,2,2,1,SC,Itapema,Meia Praia,Matheus Aluoto Negócios Imobiliários,GRUPOZAP,2025-01-11 00:00:00.000,81.0,meia praia,10987.65
2592567932,https://www.vivareal.com.br/imovel/sobrado-3-quartos-canto-da-praia-bairros-itapema-com-garagem-362m2-venda-RS4800000-id-2592567932/,Sobrado para venda tem 362 metros quadrados com 3 quartos em Canto da Praia - Itapema - SC,Venda,casa,UNIT,4800000.0,,<NA>,2300.0,0.0,"[""GAMES_ROOM"", ""POOL"", ""BARBECUE_GRILL"", ""ELECTRONIC_GATE"", ""HOME_OFFICE""]",362,3,3,3,SC,Itapema,Canto da Praia,Airton Investimentos Imobiliários Itapema,GRUPOZAP,2025-01-11 00:00:00.000,362.0,canto da praia,13259.67
2738142652,https://www.vivareal.com.br/imovel/sobrado-2-quartos-alto-sao-bento-bairros-itapema-com-garagem-69m2-venda-RS420000-id-2738142652/,Sobrado para venda com 69 metros quadrados com 2 quartos em Alto São Bento - Itapema - SC,Venda,casa,UNIT,420000.0,,<NA>,,,[],69,2,2,1,SC,Itapema,Alto São Bento,SOFIS NEGÓCIOS IMOBILIÁRIOS,GRUPOZAP,2025-01-11 00:00:00.000,69.0,alto são bento,6086.96
2647769634,https://www.vivareal.com.br/imovel/apartamento-4-quartos-meia-praia-bairros-itapema-com-garagem-188m2-venda-RS4600000-id-2647769634/,"Apartamento mobiliado A Venda- Meia Praia, Itapema SC.",Venda,apartamento,UNIT,4600000.0,,<NA>,0.0,1000.0,"[""FURNISHED"", ""BALCONY"", ""GYM"", ""GARAGE"", ""SERVICE_AREA"", ""PLAYGROUND"", ""PARTY_HALL"", ""DINNER_ROOM"", ""SEA_VIEW"", ""SPA"", ""FITNESS_ROOM"", ""ADULT_GAME_ROOM""]",188,5,4,3,SC,Itapema,Meia Praia,Crédito Real | Floripa Centro,GRUPOZAP,2025-01-11 00:00:00.000,188.0,meia praia,24468.09
2766852229,https://www.vivareal.com.br/imovel/cobertura-4-quartos-centro-bairros-itapema-com-garagem-320m2-venda-RS10479000-id-2766852229/,"Cobertura Duplex com vista mar e 4 Suítes à venda, 320 m² no Centro - Itapema/SC",Venda,apartamento,UNIT,10479000.0,,<NA>,0.0,0.0,"[""POOL"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GOURMET_BALCONY"", ""INTERCOM"", ""SAUNA"", ""SEA_VIEW""]",320,5,4,5,SC,Itapema,Centro,LANA NEGOCIOS IMOBILIARIOS LTDA,GRUPOZAP,2025-01-11 00:00:00.000,320.0,centro,32746.88
2599020455,https://www.vivareal.com.br/imovel/apartamento-3-quartos-morretes-bairros-itapema-com-garagem-113m2-venda-RS1190000-id-2599020455/,APARTAMENTO A VENDA EM ITAPEMA | 3 SUÍTES,Venda,apartamento,UNIT,1190000.0,,<NA>,,,"[""POOL"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""BALCONY"", ""NEAR_ACCESS_ROADS"", ""NEAR_SCHOOL"", ""NEAR_HOSPITAL"", ""NEAR_SHOPPING_CENTER"", ""KITCHEN"", ""HEATING"", ""ADULT_GAME_ROOM"", ""NEAR_PUBLIC_TRANSPORT"", ""ESSENTIAL_PUBLIC_SERVICES""]",113,3,3,2,SC,Itapema,Morretes,Eraci Eponina Jaques de Oliveira,GRUPOZAP,2025-01-11 00:00:00.000,113.0,morretes,10530.97
2766852232,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-120m2-venda-RS1529800-id-2766852232/,"Lindo Apartamento Mobiliado com 3 Suítes à venda, 120 m² em Meia Praia - Itapema/SC",Venda,apartamento,UNIT,1529800.0,,<NA>,0.0,650.0,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GOURMET_BALCONY"", ""INTERCOM"", ""SEA_VIEW""]",120,4,3,2,SC,Itapema,Andorinha,LANA NEGOCIOS IMOBILIARIOS LTDA,GRUPOZAP,2025-01-11 00:00:00.000,120.0,andorinha,12748.33
2539510590,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-151m2-venda-RS2100000-id-2539510590/,"Apartamento 3 Quartos para Venda em Itapema, meia praia, 3 dormitórios, 3 suítes, 4 banheiros, 2 vag",Venda,apartamento,UNIT,2100000.0,,<NA>,0.0,0.0,"[""POOL"", ""GATED_COMMUNITY"", ""GOURMET_SPACE"", ""PLAYGROUND"", ""PARTY_HALL"", ""NEAR_SCHOOL"", ""NEAR_SHOPPING_CENTER"", ""SPORTS_COURT"", ""KITCHEN"", ""ADULT_GAME_ROOM"", ""FITNESS_ROOM"", ""SPA"", ""PET_SPACE""]",151,4,3,2,SC,Itapema,Meia Praia,INEZ JESUS NUNES LIMA,GRUPOZAP,2025-01-11 00:00:00.000,151.0,meia praia,13907.28
